LINC01614
LINC00922
RP11-400N13.3
RP11-417E7.2
RP11-863P13.3
C6orf99
LINC01561
AC015849.16
RP11-428L9.2
FOXD3-AS1
RP11-742B18.1
LEF1-AS1
AC011893.3
TMPO-AS1
RP11-108L7.15
RP11-547D24.1
AC009133.12
RHPN1-AS1
C5orf66-AS1
CTD-2171N6.1
MUC2
DSCAM-AS1
CTD-2510F5.4
AC009005.2
RP11-542B15.1
MAFG-AS1
RP4-616B8.5
RP1-63M2.7
C2orf48
LINC00337
AC114730.3
RP11-429J17.7
LGALS8-AS1
RP11-196G18.22
RP11-122M14.1
LINC00466
AC112721.2
AP000251.3
RP11-265N7.1
LINC00052
WT1-AS
AGAP1-IT1
RP11-57A19.2
RP11-399C16.3
CTA-384D8.35
LA16c-380H5.1
AC112721.1
LINC00511
TYMSOS
ATP2A1-AS1
AP001434.2
RP11-865I6.2
CTD-2377D24.6
CDKN2B-AS1
LINC01344
LINC01522
RP11-127I20.5
RP11-624L4.1
RP11-426C22.4
RP11-1399P15.1
RP5-963E22.6
HOXC-AS3
LA16c-312E8.4
RP3-323A16.1
AC133644.2
RP11-98G7.1
RP11-92K15.3
RP11-443B20.1
RP11-731F5.2
RP11-429J17.5
RP11-347C12.10
C9orf163
RP6-65G23.3
RP11-783K16.13
PP14571
LINC01281
RP3-337H4.8
RP1-228H13.5
RP11-98D18.9
RP11-465N4.4
CTD-2396E7.11
MIR3150B
AFAP1-AS1
CTA-392C11.1
RP11-25L3.3
RP11-22C11.2
RP11-465L10.10
ST3GAL4-AS1
CTB-49A3.4
RP11-295G20.2
RP5-1028K7.2
PCAT6
RP1-86C11.7
RP4-533D7.5
AC018816.3
RP11-629O1.2
AC017002.1
LINC01429
RP11-459E5.1
CTD-2529O21.1
SMCR2
LINC01224
RP13-463N16.6
RP11-567M16.2
RP11-909N17.2
RP11-303E16.2
WFDC21P
DDX11-AS1
RP11-806H10.4
LINC01605
RP11-738B7.1
RP11-135F9.4
RP11-146I2.1
AC104667.3
CTC-260E6.4
RP11-67L3.5
CTC-276P9.4
RP11-473L15.3
TLX1NB
RP11-34F20.7
AC114271.2
CTC-548K16.1
RP3-439F8.1
RUNDC3A-AS1
KCNH1-IT1
CTA-126B4.7
RP11-14D22.1
RP11-783K16.5
HAGLROS
RP11-13P5.2
RP11-148B18.1
RP11-523H20.3
AC012462.2
CTD-3001H11.2
CTD-3035D6.2
RP11-191L9.4
LINC00665
RP4-694A7.2
LINC00460
PVT1
RP3-395M20.12
CTD-2589M5.4
RP11-616M22.11
CTD-2047H16.2
CTB-58E17.5
RP11-196G18.3
LA16c-380H5.2
LINC01094
AC092198.1
AC114730.5
SNHG25
CTD-2523D13.2
AF015262.2
TONSL-AS1
LA16c-380H5.5
AC005624.2
RP11-127O4.3
RP11-357H14.17
MAFA-AS1
LINC00536
RP11-53B2.6
LINC01615
AP000696.2
AC092071.1
BMPR1B-AS1
RP13-582O9.7
RP11-98D18.3
ST8SIA6-AS1
SAMD12-AS1
MIR4435-2HG
RP11-676B18.1
KB-1440D3.13
AC093642.3
CTD-2116N20.1
RP11-1275H24.2
RP11-126H7.4
RP11-307C12.11
DLEU2
RP11-126K1.2
AC068580.6
HOTAIR
RP11-731F5.1
RP11-485G7.6
RP11-556E13.1
LL22NC03-75H12.2
CTD-2015H6.3
WI2-85898F10.1
C15orf54
MNX1-AS1
RP11-320N21.2
RP1-239B22.5
RP11-533E19.7
MUC19
RP5-908M14.10
LINC00940
GATA3-AS1
MIR210HG
LINC01117
RP11-53O19.1
RP11-53B2.5
RP11-423H2.3
RP11-161I6.2
TFAP2A-AS1
AC006486.10
LA16c-312E8.2
CTA-280A3.2
FBXL19-AS1
CTA-384D8.34
RP11-98D18.17
LINC01136
RP11-67L3.4
ELFN1-AS1
CTD-3065J16.9
RP11-579D7.4
CTD-2583A14.8
UNQ6494
CITF22-49D8.1
CTD-2008P7.8
RP11-649A18.5
RP11-114M1.2
RP11-353N14.4
AP000439.3
LINC01569
RP11-121C6.5
RP3-428L16.2
AC053503.4
NKILA
AC137932.6
RP11-68I3.7
RP11-670E13.6
RNF139-AS1
LINC00152
C5orf66
CASC16
RP11-353N14.2
CLRN1-AS1
RP11-10J5.1
RP4-673M15.1
LA16c-325D7.1
LINC01588
AC062028.1
RP11-498C9.4
CTD-2547L24.4
FLJ12825
RP11-634H22.1
GS1-393G12.14
RP5-1092A11.5
RP11-36N20.1
AC068580.5
AC145110.1
CTB-92J24.2
SRRM2-AS1
CTD-2562G15.3
TSSC1-IT1
RP11-5O17.1
TCL6
LINC00243
RP11-54O7.3
RP5-907D15.4
RP11-452I5.2
RP11-656D10.7
RP5-1185I7.1
CTA-384D8.36
AC002116.7
Z69720.3
RP11-1C8.6
RP11-495P10.7
AC068858.1
AP000695.4
PCAT29
U47924.29
RP11-380L11.4
RP11-22L13.1
RP11-872J21.3
RP3-340B19.3
PLA2G4C-AS1
CTD-2371O3.3
DLG3-AS1
RP11-214N9.1
AC007255.8
SMPD5
RP11-53O19.2
RP11-344P13.6
XXbac-BPG252P9.10
RP11-473M20.11
RP11-809O17.1
RP11-210M15.1
AC141930.2
RP11-53O19.3
UNC5B-AS1
RP11-982M15.6
RP11-132A1.4
RP11-616M22.7
RP11-304L19.12
CTD-2517M22.17
LINC00607
RP4-724E16.2
RP11-93K22.6
KB-1732A1.1
RP11-347C12.11
RP11-25L3.1
KCCAT333
ELFN2
CTB-114C7.4
CTD-2410N18.3
DNAH17-AS1
RP11-513N24.1
RP3-468B3.2
RP11-84A19.3
RP13-297E16.4
RP11-405M12.4
RP11-1C8.7
CTD-2561B21.5
WASIR2
RP11-150O12.3
RP11-77P6.2
MIAT
RP13-49I15.6
RP5-1184F4.7
RP11-932O9.10
RP11-53B2.4
SRGAP3-AS2
RP11-157F20.3
CTD-2033D15.3
AC061961.2
PCAT7
RP11-661A12.9
LINC00659
LA16c-380H5.6
AC093642.1
RP11-277B15.3
RP11-968A15.2
RP11-54O7.1
RP11-99J16__A.2
RP3-512B11.3
RP11-327E2.5
DEPDC1-AS1
KRTAP5-AS1
PYCARD-AS1
RP11-203J24.8
RP11-174G6.5
RP3-495K2.2
RP11-210M15.2
FAM83C-AS1
LINC00578
RP11-485G7.5
RP11-503N18.4
CHKB-AS1
C1orf220
RP11-146F11.5
RP11-254F7.4
RP11-707G18.1
U47924.27
RP11-346C4.3
GS1-279B7.2
RP5-908M14.5
RP11-44N22.3
LINC01096
RP5-908M14.9
CTD-2555A7.2
LINC01297
RP11-576I22.2
CTC-273B12.10
RP11-89K10.1
RP11-114M1.1
RP11-335E6.3
RP11-312A15.2
LINC01505
CTC-1337H24.4
RP11-1275H24.1
RP11-133K1.11
RP11-118A3.1
RP11-723O4.9
RP11-496I9.1
RP11-12L8.1
FUT8-AS1
CTD-2033D15.2
CERS6-AS1
RP4-697K14.15
AC007750.5
RP11-734K21.5
C10orf91
LINC01050
RP11-91H12.1
LINC00593
RP3-340N1.2
RP3-453C12.15
RP11-503D12.1
ZNF252P-AS1
CTD-2649C14.2
AC003003.5
C9orf106
BCAR4
RP4-550H1.7
GHET1
LINC01063
RP11-94I2.4
AC002331.1
RP11-1C8.4
KCNMB2-AS1
RP3-443C4.2
CTD-2105E13.15
RP1-202O8.2
RP11-398C13.6
CCDC183-AS1
CTC-260E6.3
LINC01213
AC092484.1
LINC00461
CTD-2587H24.5
AC007128.1
AP001412.1
RP11-367N14.3
RP11-316M1.3
RP11-428L9.1
RP11-61J19.2
RP1-28H20.3
RP11-295D4.1
RP11-803D5.1
RP11-445F12.1
AC069513.4
RP11-757F18.5
RP11-321P16.1
OR7E47P
RP11-616M22.12
CTD-2535I10.1
RP11-96K19.4
CTD-2337I7.1
RP4-781K5.4
AC018890.6
RP11-338K13.1
RP11-107I14.2
RP11-37C7.3
